epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9567321538925171,0.11382768303155899,1e-04,0.9131944179534912,0.3298688232898712
1,0.9567321538925171,0.12977035343647003,1e-04,0.9189814925193787,0.3355240225791931
2,0.9533162713050842,0.14006496965885162,1e-04,0.8599537014961243,0.5311819911003113
3,0.9607173204421997,0.11100312322378159,1e-04,0.9074074029922485,0.37557944655418396
4,0.9732422232627869,0.07550225406885147,5e-05,0.9155092835426331,0.313040554523468
5,0.9726729393005371,0.08213286101818085,5e-05,0.9236111044883728,0.35324665904045105
6,0.97608882188797,0.06584948301315308,5e-05,0.9236111044883728,0.2449062615633011
7,0.9766581058502197,0.07319093495607376,5e-05,0.9143518805503845,0.34112441539764404
8,0.9740962386131287,0.07612480223178864,5e-05,0.9201388955116272,0.31351199746131897
9,0.9843438863754272,0.05621572583913803,2.5e-05,0.9236111044883728,0.2727295756340027
10,0.9834898710250854,0.05369012802839279,2.5e-05,0.9178240895271301,0.3119588792324066
11,0.9809280037879944,0.054779428988695145,2.5e-05,0.9270833134651184,0.2771327793598175
12,0.9866211414337158,0.04489456117153168,1.25e-05,0.9247685074806213,0.2975563406944275
13,0.98405921459198,0.045363783836364746,1.25e-05,0.9317129850387573,0.26309874653816223
14,0.9851978421211243,0.04071364551782608,1.25e-05,0.9305555820465088,0.2657100558280945
15,0.985767126083374,0.041609399020671844,6.25e-06,0.9282407164573669,0.2629202604293823
16,0.9851978421211243,0.04223616048693657,6.25e-06,0.9409722089767456,0.2315097153186798
17,0.9854825139045715,0.04027789458632469,6.25e-06,0.9340277910232544,0.2562182545661926
18,0.983205258846283,0.04904314503073692,6.25e-06,0.9351851940155029,0.2444259077310562
19,0.9883290529251099,0.034668970853090286,6.25e-06,0.9340277910232544,0.2711564600467682
20,0.9846284985542297,0.03868573158979416,3.125e-06,0.9398148059844971,0.23704621195793152
21,0.984913170337677,0.04273829236626625,3.125e-06,0.9317129850387573,0.29041972756385803
22,0.984913170337677,0.04160508140921593,3.125e-06,0.9351851940155029,0.2655937969684601
23,0.9860517978668213,0.040930118411779404,1.5625e-06,0.9282407164573669,0.25876545906066895
24,0.9860517978668213,0.041778698563575745,1.5625e-06,0.9386574029922485,0.27868202328681946
25,0.9869057536125183,0.03832782059907913,1.5625e-06,0.9375,0.22178126871585846
26,0.9894676804542542,0.033349696546792984,7.8125e-07,0.9293981194496155,0.2640860974788666
27,0.9880443811416626,0.03448110446333885,7.8125e-07,0.9386574029922485,0.27450284361839294
28,0.9877597689628601,0.04054509848356247,7.8125e-07,0.9270833134651184,0.2532579302787781
29,0.9883290529251099,0.03854371979832649,3.90625e-07,0.9386574029922485,0.23236601054668427
