epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9188727736473083,0.2258925586938858,1e-04,0.8935185074806213,0.2879345118999481
1,0.9259892106056213,0.20324113965034485,1e-04,0.8715277910232544,0.3882785439491272
2,0.9350982308387756,0.17185544967651367,1e-04,0.8703703880310059,0.37460801005363464
3,0.9348135590553284,0.19371889531612396,1e-04,0.8530092835426331,0.4149315357208252
4,0.9439225792884827,0.14785480499267578,5e-05,0.8923611044883728,0.302280455827713
5,0.9479077458381653,0.1397743672132492,5e-05,0.8958333134651184,0.27199435234069824
6,0.9521776437759399,0.1283394992351532,5e-05,0.9004629850387573,0.2606549561023712
7,0.9473384618759155,0.1338212639093399,2.5e-05,0.9120370149612427,0.23289404809474945
8,0.9470537900924683,0.13728749752044678,2.5e-05,0.9212962985038757,0.21628005802631378
9,0.9510390162467957,0.13318954408168793,2.5e-05,0.9120370149612427,0.20983000099658966
10,0.9496157169342041,0.1370266228914261,2.5e-05,0.9282407164573669,0.17457562685012817
11,0.9524622559547424,0.12066741287708282,2.5e-05,0.9293981194496155,0.18168319761753082
12,0.954739511013031,0.11436078697443008,2.5e-05,0.9282407164573669,0.200543612241745
13,0.9558781385421753,0.10847824811935425,2.5e-05,0.9201388955116272,0.1770986169576645
14,0.9604327082633972,0.11173459142446518,1.25e-05,0.9351851940155029,0.18249593675136566
15,0.954739511013031,0.12733104825019836,1.25e-05,0.9224537014961243,0.19938383996486664
16,0.96014803647995,0.10719522088766098,1.25e-05,0.9328703880310059,0.16289673745632172
17,0.96014803647995,0.10397054255008698,6.25e-06,0.9189814925193787,0.1829289346933365
18,0.9550241827964783,0.11903490871191025,6.25e-06,0.9247685074806213,0.17064589262008667
19,0.9595786929130554,0.10876867175102234,6.25e-06,0.9305555820465088,0.1654660999774933
20,0.9587247371673584,0.10922412574291229,3.125e-06,0.9317129850387573,0.16267116367816925
21,0.9581553936004639,0.11317933350801468,3.125e-06,0.9409722089767456,0.14457398653030396
22,0.9621406197547913,0.10383232682943344,3.125e-06,0.9328703880310059,0.16180375218391418
23,0.9647025465965271,0.09578487277030945,3.125e-06,0.9328703880310059,0.16788461804389954
24,0.9655565023422241,0.0961342304944992,3.125e-06,0.9224537014961243,0.17767928540706635
25,0.9641332030296326,0.09638721495866776,1.5625e-06,0.9409722089767456,0.15741384029388428
26,0.9604327082633972,0.09898076951503754,1.5625e-06,0.9340277910232544,0.1575356274843216
27,0.9624252915382385,0.09547769278287888,1.5625e-06,0.9363425970077515,0.14796189963817596
28,0.9575861096382141,0.1084810271859169,7.8125e-07,0.9421296119689941,0.14207994937896729
29,0.9604327082633972,0.10319263488054276,7.8125e-07,0.9317129850387573,0.1517646163702011
30,0.9655565023422241,0.09175267815589905,7.8125e-07,0.9340277910232544,0.15664726495742798
31,0.9598633646965027,0.10653293132781982,3.90625e-07,0.9305555820465088,0.16066820919513702
32,0.9627099633216858,0.09976168721914291,3.90625e-07,0.9351851940155029,0.15062043070793152
33,0.961001992225647,0.10163935273885727,3.90625e-07,0.9293981194496155,0.17002086341381073
34,0.9624252915382385,0.10219113528728485,1.953125e-07,0.9398148059844971,0.1367560476064682
