epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.16415540874004364,0.001,0.9323017597198486,0.06562197953462601,0.9711135029792786
1,0.06199714168906212,0.001,0.9728963971138,0.05972449108958244,0.9746293425559998
2,0.06184312328696251,0.001,0.9728294014930725,0.06146759167313576,0.9727938771247864
3,0.05696646496653557,0.001,0.9740230441093445,0.05514643341302872,0.9739813208580017
4,0.05342710018157959,0.0005,0.974770188331604,0.05049716308712959,0.9756996035575867
5,0.052224017679691315,0.0005,0.9750142097473145,0.049414776265621185,0.9760510325431824
6,0.05159185826778412,0.0005,0.9751172065734863,0.054555200040340424,0.9727985262870789
7,0.050892625004053116,0.00025,0.9752413034439087,0.05233127251267433,0.9739153981208801
8,0.050558917224407196,0.00025,0.9753947257995605,0.05413321778178215,0.9726098775863647
9,0.0504627525806427,0.00025,0.9753239154815674,0.049258191138505936,0.9756892919540405
10,0.050010595470666885,0.000125,0.9754856824874878,0.04718600586056709,0.9774643778800964
11,0.0499112494289875,0.000125,0.9754430651664734,0.04828329756855965,0.9766632318496704
12,0.04978850856423378,0.000125,0.9754707217216492,0.0508534237742424,0.974619448184967
13,0.04962356388568878,6.25e-05,0.9755468964576721,0.04857289791107178,0.9766689538955688
14,0.049534570425748825,6.25e-05,0.9755732417106628,0.04984661564230919,0.9752105474472046
15,0.04944877699017525,6.25e-05,0.9755709171295166,0.046975575387477875,0.9774522185325623
16,0.0494157075881958,3.125e-05,0.9755991697311401,0.049643900245428085,0.9756263494491577
17,0.04939740151166916,3.125e-05,0.9756031036376953,0.050945643335580826,0.9744585752487183
18,0.04938191547989845,3.125e-05,0.9755743145942688,0.04906682297587395,0.9759287238121033
19,0.0493272989988327,1.5625e-05,0.9756342768669128,0.050107285380363464,0.9750463962554932
