epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.993737518787384,0.018921256065368652,1e-05,0.9375,0.3135319948196411
1,0.9906063079833984,0.024149518460035324,1e-05,0.9513888955116272,0.23113340139389038
2,0.99202960729599,0.02062447927892208,1e-05,0.9594907164573669,0.1919516921043396
3,0.9934529066085815,0.022200558334589005,1e-05,0.9571759104728699,0.21883295476436615
4,0.9982920289039612,0.009353533387184143,1e-05,0.9606481194496155,0.21525737643241882
5,0.9957301616668701,0.01450442336499691,5e-06,0.9548611044883728,0.22253213822841644
6,0.9954454898834229,0.015034707263112068,5e-06,0.9525462985038757,0.21411564946174622
7,0.9960147738456726,0.013674182817339897,5e-06,0.9571759104728699,0.22870254516601562
8,0.9974380731582642,0.009338141418993473,2.5e-06,0.9629629850387573,0.1868789792060852
9,0.9945915341377258,0.014047312550246716,2.5e-06,0.9594907164573669,0.24216680228710175
10,0.9977227449417114,0.008911400102078915,2.5e-06,0.9560185074806213,0.23448731005191803
11,0.9962994456291199,0.01624321937561035,2.5e-06,0.9502314925193787,0.24776619672775269
12,0.9962994456291199,0.011585118249058723,1.25e-06,0.9629629850387573,0.2096376270055771
13,0.9971534013748169,0.011230588890612125,1.25e-06,0.9560185074806213,0.23836709558963776
14,0.9960147738456726,0.00972934253513813,1.25e-06,0.9537037014961243,0.24305544793605804
15,0.9985767006874084,0.006945903412997723,6.25e-07,0.9641203880310059,0.1873481571674347
16,0.9980074167251587,0.00721536111086607,6.25e-07,0.9629629850387573,0.19915610551834106
17,0.9954454898834229,0.010346629656851292,6.25e-07,0.9560185074806213,0.2280016839504242
18,0.9960147738456726,0.01304700504988432,3.125e-07,0.9629629850387573,0.20945902168750763
19,0.9960147738456726,0.011652610264718533,3.125e-07,0.9583333134651184,0.23666104674339294
20,0.9980074167251587,0.008361195214092731,3.125e-07,0.9618055820465088,0.19869133830070496
21,0.9971534013748169,0.011590703390538692,1.5625e-07,0.9606481194496155,0.2064029723405838
22,0.9980074167251587,0.008111665025353432,1.5625e-07,0.9560185074806213,0.20702828466892242
23,0.9977227449417114,0.007981598377227783,1.5625e-07,0.9537037014961243,0.22086355090141296
24,0.9982920289039612,0.008634628728032112,7.8125e-08,0.9560185074806213,0.21596555411815643
25,0.9965841174125671,0.009362312965095043,7.8125e-08,0.9652777910232544,0.17056410014629364
26,0.9965841174125671,0.009753855876624584,7.8125e-08,0.9641203880310059,0.19780778884887695
27,0.9988613724708557,0.005651169456541538,3.90625e-08,0.9525462985038757,0.21821549534797668
28,0.9974380731582642,0.008605901151895523,3.90625e-08,0.9606481194496155,0.21204710006713867
29,0.9985767006874084,0.009393184445798397,3.90625e-08,0.9594907164573669,0.20396289229393005
