epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.32991746068000793,2.0077905654907227,0.001,0.5543981194496155,1.3854807615280151
1,0.4984343945980072,1.4224408864974976,0.001,0.6643518805503845,1.0278489589691162
2,0.588955283164978,1.1721832752227783,0.001,0.6828703880310059,0.8862867951393127
3,0.635069727897644,1.0400992631912231,0.001,0.6886574029922485,0.8725040555000305
4,0.6498718857765198,0.994115948677063,0.001,0.7453703880310059,0.7333023548126221
5,0.6752063632011414,0.9116559624671936,0.001,0.7696759104728699,0.6773010492324829
6,0.6843153834342957,0.8919113874435425,0.001,0.7534722089767456,0.6882380843162537
7,0.6931397914886475,0.8373942971229553,0.001,0.7638888955116272,0.6574838161468506
8,0.7028180956840515,0.8116454482078552,0.001,0.7453703880310059,0.6772933602333069
9,0.7375462651252747,0.7284281849861145,0.0005,0.7881944179534912,0.5918612480163574
10,0.7398235201835632,0.7171988487243652,0.0005,0.8032407164573669,0.5754817128181458
11,0.7574722170829773,0.6777089238166809,0.0005,0.8194444179534912,0.5339030027389526
12,0.7694278359413147,0.6749863624572754,0.0005,0.7824074029922485,0.5729645490646362
13,0.7574722170829773,0.6672050356864929,0.0005,0.8206018805503845,0.5282119512557983
14,0.7645886540412903,0.6622361540794373,0.0005,0.8125,0.5115382075309753
15,0.776828944683075,0.6252922415733337,0.00025,0.8414351940155029,0.48539867997169495
16,0.7739823460578918,0.6287135481834412,0.00025,0.8414351940155029,0.48752346634864807
17,0.776828944683075,0.6254351735115051,0.00025,0.8379629850387573,0.49232208728790283
18,0.7722744345664978,0.6233755350112915,0.00025,0.8310185074806213,0.4943905472755432
19,0.7939083576202393,0.5759474039077759,0.000125,0.8310185074806213,0.4899991750717163
20,0.7882152199745178,0.5900462865829468,0.000125,0.8240740895271301,0.4860239326953888
21,0.7956162691116333,0.5838205814361572,0.000125,0.8333333134651184,0.45919498801231384
22,0.7964702248573303,0.5668454170227051,6.25e-05,0.84375,0.44642511010169983
23,0.802448034286499,0.5560157895088196,6.25e-05,0.8587962985038757,0.42616117000579834
24,0.7913464307785034,0.5747283697128296,6.25e-05,0.8217592835426331,0.46703293919563293
25,0.7990321516990662,0.5595951080322266,6.25e-05,0.8495370149612427,0.4470805823802948
26,0.7922003865242004,0.5688160061836243,6.25e-05,0.8483796119689941,0.4432450830936432
27,0.7910617589950562,0.5676524043083191,3.125e-05,0.8344907164573669,0.46522870659828186
28,0.8081411719322205,0.5435865521430969,3.125e-05,0.8402777910232544,0.4470857083797455
29,0.7998861074447632,0.5602068901062012,3.125e-05,0.8541666865348816,0.4632221460342407
