epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8491318225860596,0.45780956745147705,1e-04,0.8587962985038757,0.4915054440498352
1,0.8975234627723694,0.27948933839797974,1e-04,0.9027777910232544,0.3107946813106537
2,0.909763753414154,0.25293484330177307,1e-04,0.9085648059844971,0.295100599527359
3,0.930828332901001,0.19593270123004913,1e-04,0.9236111044883728,0.23731467127799988
4,0.930828332901001,0.18912263214588165,1e-04,0.9351851940155029,0.2230604737997055
5,0.9405066967010498,0.17029066383838654,1e-04,0.9351851940155029,0.20853303372859955
6,0.9479077458381653,0.135175883769989,1e-04,0.9317129850387573,0.24311606585979462
7,0.9430686235427856,0.1463695913553238,1e-04,0.9212962985038757,0.23494751751422882
8,0.9555935263633728,0.12658365070819855,5e-05,0.9340277910232544,0.19387215375900269
9,0.9627099633216858,0.10140012204647064,5e-05,0.9363425970077515,0.18772561848163605
10,0.9669798016548157,0.08619409054517746,5e-05,0.9386574029922485,0.19422972202301025
11,0.9712496399879456,0.09001978486776352,2.5e-05,0.9467592835426331,0.1931142508983612
12,0.9718189835548401,0.07751858234405518,2.5e-05,0.9398148059844971,0.2166229635477066
13,0.9709649682044983,0.07663644105195999,2.5e-05,0.9502314925193787,0.18297192454338074
14,0.9740962386131287,0.07156284153461456,2.5e-05,0.9467592835426331,0.18853916227817535
15,0.9775121212005615,0.06913337856531143,1.25e-05,0.9467592835426331,0.2048942595720291
16,0.9780814051628113,0.06600146740674973,1.25e-05,0.9467592835426331,0.19465219974517822
17,0.9766581058502197,0.06489808857440948,1.25e-05,0.9502314925193787,0.20262914896011353
18,0.9795047044754028,0.05991363152861595,6.25e-06,0.9502314925193787,0.2016030251979828
19,0.983205258846283,0.04990454390645027,6.25e-06,0.9421296119689941,0.2081606686115265
20,0.9826359152793884,0.04763510450720787,6.25e-06,0.9548611044883728,0.17986543476581573
21,0.9809280037879944,0.051260873675346375,3.125e-06,0.9502314925193787,0.16563336551189423
22,0.983205258846283,0.047747813165187836,3.125e-06,0.9375,0.2215682864189148
23,0.9797893762588501,0.051174238324165344,3.125e-06,0.9490740895271301,0.20780132710933685
24,0.9820666313171387,0.04860429838299751,1.5625e-06,0.9398148059844971,0.21008741855621338
25,0.9803586602210999,0.052646487951278687,1.5625e-06,0.9525462985038757,0.18999351561069489
26,0.9871904253959656,0.03756589815020561,1.5625e-06,0.9618055820465088,0.17409084737300873
27,0.9869057536125183,0.04004425182938576,1.5625e-06,0.9525462985038757,0.2002898007631302
28,0.9860517978668213,0.04033568128943443,1.5625e-06,0.9432870149612427,0.20414066314697266
29,0.9871904253959656,0.046490252017974854,1.5625e-06,0.9537037014961243,0.19245396554470062
