epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.9951608180999756,0.015423472970724106,1e-05,0.9479166865348816,0.2876009941101074
1,0.9948761463165283,0.016446428373456,1e-05,0.9525462985038757,0.2859533429145813
2,0.9960147738456726,0.01347374077886343,1e-05,0.9641203880310059,0.23362106084823608
3,0.9957301616668701,0.011745535768568516,1e-05,0.9583333134651184,0.2339491844177246
4,0.9968687891960144,0.009808913804590702,1e-05,0.9548611044883728,0.2548745274543762
5,0.9957301616668701,0.011637475341558456,1e-05,0.9652777910232544,0.22876521944999695
6,0.9965841174125671,0.011018614284694195,5e-06,0.9652777910232544,0.18578732013702393
7,0.9974380731582642,0.00782918930053711,5e-06,0.9525462985038757,0.2660259008407593
8,0.9962994456291199,0.010030603967607021,5e-06,0.9641203880310059,0.20465010404586792
9,0.9962994456291199,0.009465041570365429,2.5e-06,0.9652777910232544,0.20063617825508118
10,0.9985767006874084,0.00635273614898324,2.5e-06,0.9618055820465088,0.20511992275714874
11,0.9980074167251587,0.007463369984179735,2.5e-06,0.9618055820465088,0.23254826664924622
12,0.9977227449417114,0.0065512219443917274,1.25e-06,0.9606481194496155,0.21838052570819855
13,0.9974380731582642,0.01034599356353283,1.25e-06,0.9652777910232544,0.18974874913692474
14,0.9980074167251587,0.009487631730735302,1.25e-06,0.9571759104728699,0.21284112334251404
15,0.9974380731582642,0.006818621419370174,6.25e-07,0.9629629850387573,0.20085714757442474
16,0.9965841174125671,0.011064540594816208,6.25e-07,0.9664351940155029,0.18013519048690796
17,0.9977227449417114,0.00658486969769001,6.25e-07,0.9641203880310059,0.2173168957233429
18,0.9980074167251587,0.0059882174246013165,3.125e-07,0.9618055820465088,0.21428339183330536
19,0.9982920289039612,0.009789657779037952,3.125e-07,0.9606481194496155,0.1933337301015854
20,0.9980074167251587,0.005656295455992222,3.125e-07,0.9583333134651184,0.22175449132919312
21,0.9982920289039612,0.0069833118468523026,1.5625e-07,0.96875,0.2066720724105835
22,0.9982920289039612,0.007115763612091541,1.5625e-07,0.9629629850387573,0.18262116611003876
23,0.9974380731582642,0.008663136512041092,1.5625e-07,0.9652777910232544,0.21047087013721466
24,0.9971534013748169,0.008900539018213749,7.8125e-08,0.9606481194496155,0.22214585542678833
25,0.9997153282165527,0.004334648139774799,7.8125e-08,0.9618055820465088,0.21070906519889832
26,0.9977227449417114,0.008660181425511837,7.8125e-08,0.9594907164573669,0.214609757065773
27,0.9980074167251587,0.008665956556797028,3.90625e-08,0.9594907164573669,0.22376535832881927
28,0.9977227449417114,0.007474713027477264,3.90625e-08,0.9571759104728699,0.2038661390542984
29,0.9971534013748169,0.012242493219673634,3.90625e-08,0.9618055820465088,0.20049694180488586
