epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8138343095779419,0.5487306714057922,1e-04,0.8136574029922485,0.5393269062042236
1,0.831767737865448,0.4787595272064209,1e-04,0.8090277910232544,0.5937988758087158
2,0.8454312682151794,0.4445602595806122,1e-04,0.8090277910232544,0.6373178958892822
3,0.8576714992523193,0.4201136529445648,1e-04,0.8194444179534912,0.5915026068687439
4,0.8568175435066223,0.40053874254226685,5e-05,0.8090277910232544,0.6301348805427551
5,0.8736122846603394,0.36233511567115784,5e-05,0.8182870149612427,0.5555001497268677
6,0.8662112355232239,0.36419060826301575,5e-05,0.8622685074806213,0.37292876839637756
7,0.8807287216186523,0.3552320599555969,5e-05,0.8472222089767456,0.43422621488571167
8,0.8827213048934937,0.32602134346961975,5e-05,0.8159722089767456,0.5818684697151184
9,0.8830059766769409,0.33138611912727356,5e-05,0.8726851940155029,0.4171578586101532
10,0.8795900940895081,0.33126261830329895,5e-05,0.8587962985038757,0.39498457312583923
11,0.8929689526557922,0.3189255893230438,5e-05,0.8611111044883728,0.4490875005722046
12,0.8895530700683594,0.31019923090934753,5e-05,0.8738425970077515,0.3961451053619385
13,0.8898377418518066,0.30542340874671936,2.5e-05,0.8726851940155029,0.35920265316963196
14,0.8926843404769897,0.3031364679336548,2.5e-05,0.8842592835426331,0.35001394152641296
15,0.8949615955352783,0.3044527471065521,2.5e-05,0.875,0.36287620663642883
16,0.8926843404769897,0.2944665253162384,2.5e-05,0.8819444179534912,0.36080899834632874
17,0.9023626446723938,0.27667322754859924,2.5e-05,0.8969907164573669,0.30912744998931885
18,0.909763753414154,0.2734905481338501,2.5e-05,0.8946759104728699,0.2990915775299072
19,0.909763753414154,0.253551721572876,2.5e-05,0.8912037014961243,0.35640236735343933
20,0.9083404541015625,0.25452929735183716,2.5e-05,0.8993055820465088,0.2679264545440674
21,0.9035012722015381,0.2689037621021271,1.25e-05,0.8969907164573669,0.2874731421470642
22,0.9082386493682861,0.26166296005249023,1.25e-05,0.9108796119689941,0.2567179501056671
23,0.9046398997306824,0.271452397108078,1.25e-05,0.8888888955116272,0.27540916204452515
24,0.9094790816307068,0.25900793075561523,1.25e-05,0.9027777910232544,0.2514241933822632
25,0.9089097380638123,0.2457500845193863,1.25e-05,0.9143518805503845,0.25357186794281006
26,0.9137489199638367,0.24551038444042206,6.25e-06,0.9247685074806213,0.2288796305656433
27,0.9134642481803894,0.2484457790851593,6.25e-06,0.9027777910232544,0.25322479009628296
28,0.9094790816307068,0.26084962487220764,6.25e-06,0.9166666865348816,0.24854715168476105
29,0.9049245715141296,0.26878854632377625,6.25e-06,0.9270833134651184,0.2081095576286316
30,0.9134642481803894,0.24495933949947357,3.125e-06,0.9097222089767456,0.24787086248397827
31,0.9091944098472595,0.2545660138130188,3.125e-06,0.9108796119689941,0.24863386154174805
32,0.9123256206512451,0.2582026422023773,3.125e-06,0.9120370149612427,0.2586570978164673
33,0.9120410084724426,0.24279490113258362,1.5625e-06,0.9085648059844971,0.2670452296733856
34,0.9123256206512451,0.2387099266052246,1.5625e-06,0.9143518805503845,0.2328101545572281
35,0.9140335917472839,0.24724727869033813,1.5625e-06,0.9155092835426331,0.23063760995864868
36,0.9165955185890198,0.2350810021162033,7.8125e-07,0.9166666865348816,0.22247779369354248
37,0.9140335917472839,0.23503339290618896,7.8125e-07,0.9212962985038757,0.22489747405052185
38,0.9180187582969666,0.23171308636665344,7.8125e-07,0.9189814925193787,0.24454471468925476
39,0.9168801307678223,0.23720037937164307,3.90625e-07,0.9212962985038757,0.23236848413944244
