epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.976942777633667,0.05882715433835983,1e-05,0.9409722089767456,0.23173914849758148
1,0.9846284985542297,0.0490938164293766,1e-05,0.9583333134651184,0.15867407619953156
2,0.9826359152793884,0.05536270514130592,1e-05,0.9618055820465088,0.15738560259342194
3,0.977796733379364,0.05971204861998558,1e-05,0.9629629850387573,0.15135608613491058
4,0.9797893762588501,0.0528971366584301,1e-05,0.9594907164573669,0.16489876806735992
5,0.9900370240211487,0.041094064712524414,5e-06,0.9629629850387573,0.19028979539871216
6,0.9886137247085571,0.04123111069202423,5e-06,0.9629629850387573,0.18167582154273987
7,0.9803586602210999,0.05774611234664917,5e-06,0.9629629850387573,0.16111038625240326
8,0.9883290529251099,0.03940906375646591,2.5e-06,0.9664351940155029,0.14074458181858063
9,0.9863364696502686,0.041221361607313156,2.5e-06,0.9675925970077515,0.14511677622795105
10,0.9846284985542297,0.0465671643614769,2.5e-06,0.9548611044883728,0.16682928800582886
11,0.9809280037879944,0.048697590827941895,1.25e-06,0.9699074029922485,0.1571062207221985
12,0.98405921459198,0.04700343310832977,1.25e-06,0.9606481194496155,0.16530323028564453
13,0.9866211414337158,0.04280069097876549,1.25e-06,0.9629629850387573,0.15624240040779114
14,0.9837745428085327,0.04528399184346199,1.25e-06,0.9791666865348816,0.10904379934072495
15,0.9837745428085327,0.04130095988512039,6.25e-07,0.9629629850387573,0.1543814092874527
16,0.9877597689628601,0.03838653862476349,6.25e-07,0.9710648059844971,0.12102002650499344
17,0.9888983964920044,0.03568492829799652,6.25e-07,0.9571759104728699,0.15456020832061768
18,0.9900370240211487,0.03354021534323692,3.125e-07,0.9606481194496155,0.18361561000347137
19,0.9829205870628357,0.04689441993832588,3.125e-07,0.96875,0.15283545851707458
20,0.9846284985542297,0.04495488107204437,3.125e-07,0.9664351940155029,0.16541793942451477
21,0.983205258846283,0.05054376274347305,1.5625e-07,0.9664351940155029,0.16495254635810852
22,0.9851978421211243,0.04677550867199898,1.5625e-07,0.9629629850387573,0.1464669555425644
23,0.9851978421211243,0.0473538339138031,1.5625e-07,0.9710648059844971,0.14399908483028412
24,0.9866211414337158,0.03872275352478027,7.8125e-08,0.9583333134651184,0.16289915144443512
25,0.984913170337677,0.04223611205816269,7.8125e-08,0.9629629850387573,0.14582854509353638
26,0.98405921459198,0.041359640657901764,7.8125e-08,0.9560185074806213,0.18221750855445862
27,0.9814972877502441,0.049291495233774185,3.90625e-08,0.9710648059844971,0.1490812599658966
28,0.9837745428085327,0.04954870790243149,3.90625e-08,0.9618055820465088,0.1672741174697876
29,0.9871904253959656,0.039837796241045,3.90625e-08,0.9629629850387573,0.15166731178760529
