epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8650726079940796,0.41770613193511963,1e-04,0.8541666865348816,0.4276801645755768
1,0.9074864983558655,0.26790618896484375,1e-04,0.9016203880310059,0.26834094524383545
2,0.9140335917472839,0.22795803844928741,1e-04,0.9074074029922485,0.266396164894104
3,0.9114716649055481,0.23289898037910461,1e-04,0.9097222089767456,0.27587249875068665
4,0.9257045388221741,0.20380307734012604,1e-04,0.9039351940155029,0.28774458169937134
5,0.9339596033096313,0.17414937913417816,5e-05,0.9201388955116272,0.23549453914165497
6,0.937944769859314,0.157106414437294,5e-05,0.9328703880310059,0.1969967782497406
7,0.9427839517593384,0.1449163258075714,5e-05,0.9282407164573669,0.22350499033927917
8,0.9436379075050354,0.13702373206615448,5e-05,0.9270833134651184,0.19474467635154724
9,0.9473384618759155,0.13670316338539124,5e-05,0.9305555820465088,0.2376379370689392
10,0.9470537900924683,0.13351605832576752,2.5e-05,0.9444444179534912,0.19495008885860443
11,0.9527469277381897,0.12418743968009949,2.5e-05,0.9328703880310059,0.19831733405590057
12,0.9578707814216614,0.11498676240444183,2.5e-05,0.9363425970077515,0.2012651562690735
13,0.9615713357925415,0.1116567924618721,2.5e-05,0.9259259104728699,0.1902410387992859
14,0.96014803647995,0.10523085296154022,1.25e-05,0.9502314925193787,0.1910863071680069
15,0.9564474821090698,0.10689587146043777,1.25e-05,0.9409722089767456,0.18829624354839325
16,0.9627099633216858,0.09964621812105179,1.25e-05,0.9386574029922485,0.19623081386089325
17,0.9658411741256714,0.0928201898932457,6.25e-06,0.9444444179534912,0.18845148384571075
18,0.9647025465965271,0.09025335311889648,6.25e-06,0.9386574029922485,0.21385109424591064
19,0.9621406197547913,0.0951671451330185,6.25e-06,0.9432870149612427,0.19903090596199036
20,0.9655565023422241,0.08455941081047058,3.125e-06,0.9467592835426331,0.20196112990379333
21,0.9649872183799744,0.08769194036722183,3.125e-06,0.9409722089767456,0.21310913562774658
22,0.96811842918396,0.087089903652668,3.125e-06,0.9432870149612427,0.21477971971035004
23,0.9635639190673828,0.08723783493041992,1.5625e-06,0.9386574029922485,0.21116942167282104
24,0.9666951298713684,0.08215945959091187,1.5625e-06,0.9375,0.20955191552639008
25,0.9629945755004883,0.08957163989543915,1.5625e-06,0.9317129850387573,0.19197218120098114
26,0.9678337574005127,0.0863739550113678,7.8125e-07,0.9409722089767456,0.21924236416816711
27,0.9632792472839355,0.09135188162326813,7.8125e-07,0.9398148059844971,0.2111182063817978
28,0.9661258459091187,0.08168593794107437,7.8125e-07,0.9525462985038757,0.18449589610099792
29,0.9664104580879211,0.08900989592075348,3.90625e-07,0.9375,0.20035259425640106
